Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration
149.154.175.58 10.0.2.16 443 45586,1135487126,1135533250,1135533254,1135533259,1135533278,1135533284,,,443,0x5492,4,10,5,6,,45502,45512
10.0.2.16 149.154.175.53 36540 5222,1136031745,1136038639,1136038709,1136038717,1136038735,1136038748,,,36540,0x458c,4,25,8,13,,6801,6826
10.0.2.16 149.154.175.58 33976 443,1136133979,1136139125,1136139161,1136139171,1136139189,1136139203,,,33976,0x3d75,4,27,10,14,,5068,5095
149.154.167.151 10.0.2.16 443 51670,1136201176,1136225639,1136225690,1136225700,1136225718,1136225732,,,443,0x3076,4,46,10,14,,24033,24079
10.0.2.16 149.154.167.151 51670 443,1136201633,1136226098,1136226168,1136226174,1136226192,1136226202,,,51670,0x7acb,4,23,6,10,,24034,24057
10.0.2.16 149.154.167.151 54744 443,1136422823,1136428413,1136428483,1136428488,1136428506,1136428512,,,54744,0x6c0a,4,6,5,6,,5487,5493
10.0.2.16 149.154.167.151 55904 443,1136467840,1136475461,1136475527,1136475533,1136475551,1136475560,,,55904,0x39c9,4,25,6,9,,7547,7572
149.154.175.53 10.0.2.16 5222 54322,1136653075,1136658187,1136658263,1136658271,1136658289,1136658303,,,5222,0x2c5d,4,89,8,14,,5028,5117
149.154.175.58 10.0.2.16 443 59032,1136666740,1136671329,1136671360,1136671367,1136671385,1136671396,,,443,0x10f1,4,35,7,11,,4526,4561
149.154.167.151 10.0.2.16 443 48578,1136688526,1136694704,1136694775,1136694780,1136694798,1136694809,,,443,0x6339,4,38,5,11,,6006,6044
10.0.2.16 149.154.167.151 40580 443,1136725000,1136730906,1136730943,1136730947,1136730965,1136730973,,,40580,0x2eaa,4,73,4,8,,5817,5890
149.154.175.53 10.0.2.16 5222 56996,1136812323,1136825694,1136825766,1136825779,1136825798,1136825811,,,5222,0x5e2f,4,21,13,13,,13121,13142
10.0.2.16 149.154.175.53 56996 5222,1136812019,1136826503,1136826556,1136826562,1136826580,1136826590,,,56996,0x6a04,4,97,6,10,,14365,14462
149.154.167.151 10.0.2.16 443 50746,1136836381,1136841442,1136841465,1136841471,1136841489,1136841498,,,443,0x71c9,4,91,6,9,,4986,5077
10.0.2.15 149.154.175.53 44274 443,1136902775,1136907984,1136908057,1136908070,1136908090,1136908104,,,44274,0x4508,4,86,13,14,,5131,5217
10.0.2.16 149.154.175.53 54608 443,1136976733,1136981574,1136981646,1136981652,1136981669,1136981680,,,54608,0x3233,4,7,6,11,,4701,4708
10.0.2.16 149.154.167.151 54430 443,1137303079,1137308569,1137308640,1137308644,1137308662,1137308672,,,54430,0x33e1,4,43,4,10,,5388,5431
149.154.167.151 10.0.2.16 443 39612,1137293559,1137328323,1137328377,1137328383,1137328401,1137328409,,,443,0x4f01,4,35,6,8,,34283,34318
10.0.2.16 149.154.167.151 39612 443,1137293958,1137330150,1137330221,1137330226,1137330244,1137330253,,,39612,0x4ce0,4,0,5,9,,35669,35669
149.154.175.58 10.0.2.16 443 45536,1137454978,1137459230,1137459302,1137459311,1137459330,1137459343,,,443,0x39f6,4,25,9,13,,4181,4206
149.154.175.53 10.0.2.16 443 49434,1137447386,1137461861,1137461918,1137461922,1137461940,1137461951,,,443,0x4b32,4,21,4,11,,14287,14308
10.0.2.16 149.154.167.151 45464 443,1137441920,1137474227,1137474238,1137474243,1137474264,1137474272,,,45464,0x6c3a,4,32,5,8,,31935,31967
149.154.167.151 10.0.2.16 443 59170,1137745724,1137750992,1137751064,1137751075,1137751094,1137751109,,,443,0x4e2d,4,43,11,15,,5172,5215
10.0.2.16 149.154.167.151 59170 443,1137746091,1137751328,1137751392,1137751398,1137751415,1137751424,,,59170,0x4b90,4,84,6,9,,5144,5228
10.0.2.16 149.154.167.151 59184 443,1137763975,1137788296,1137788352,1137788360,1137788379,1137788389,,,59184,0x592c,4,45,8,10,,23998,24043
149.154.175.58 10.0.2.16 443 35038,1137783475,1137811189,1137811259,1137811262,1137811280,1137811288,,,443,0x2b82,4,0,3,8,,27320,27320
149.154.167.151 10.0.2.16 443 57762,1137812887,1137816777,1137816847,1137816852,1137816870,1137816878,,,443,0x533c,4,33,5,8,,3811,3844
10.0.2.16 149.154.167.151 57762 443,1137812550,1137819350,1137819420,1137819425,1137819443,1137819453,,,57762,0x74b8,4,31,5,10,,6702,6733
149.154.175.53 10.0.2.16 443 47326,1137963850,1137968663,1137968733,1137968742,1137968760,1137968773,,,443,0x19d2,4,18,9,13,,4798,4816
149.154.175.58 10.0.2.16 443 49548,1137977765,1137982752,1137982787,1137982791,1137982809,1137982817,,,443,0x6a99,4,17,4,8,,4920,4937
10.0.2.16 149.154.175.58 49548 443,1137977363,1137983180,1137983250,1137983254,1137983272,1137983282,,,49548,0x1f8d,4,89,4,10,,5703,5792
149.154.167.151 10.0.2.16 443 48188,1137991244,1137995999,1137996065,1137996070,1137996088,1137996097,,,443,0x5cce,4,49,5,9,,4684,4733
149.154.167.151 10.0.2.16 443 59464,1138013933,1138018798,1138018822,1138018828,1138018846,1138018853,,,443,0x2459,4,69,6,7,,4847,4916
10.0.2.16 149.154.167.151 59464 443,1138014278,1138019365,1138019435,1138019439,1138019457,1138019466,,,59464,0x1a37,4,18,4,9,,5017,5035
149.154.167.151 10.0.2.16 443 43072,1138197139,1138202454,1138202494,1138202503,1138202521,1138202534,,,443,0x7a5d,4,21,9,13,,5299,5320
10.0.2.16 149.154.175.58 58090 443,1138192464,1138206712,1138206750,1138206754,1138206772,1138206778,,,58090,0x7df4,4,23,4,6,,14022,14045
149.154.167.151 10.0.2.16 443 42812,1138208216,1138213052,1138213084,1138213090,1138213107,1138213116,,,443,0x309a,4,15,6,9,,4765,4780
149.154.175.53 10.0.2.16 443 44854,1138276042,1138291287,1138291313,1138291321,1138291340,1138291353,,,443,0x2611,4,33,8,13,,15039,15072
149.154.175.53 10.0.2.16 443 51500,1138263714,1138324116,1138324187,1138324192,1138324211,1138324221,,,443,0x504c,4,59,5,10,,59558,59617
149.154.175.53 10.0.2.16 443 44852,1138398367,1138406785,1138406856,1138406863,1138406882,1138406892,,,443,0x16ff,4,32,7,10,,8299,8331
149.154.175.53 10.0.2.16 443 46466,1138462862,1138467825,1138467896,1138467903,1138467920,1138467933,,,443,0x40e0,4,81,7,13,,4856,4937
10.0.2.16 149.154.175.53 46466 443,1138462436,1138468181,1138468217,1138468224,1138468242,1138468253,,,46466,0x4d9a,4,24,7,11,,5657,5681
10.0.2.16 149.154.175.58 40204 443,1138483676,1138488998,1138489015,1138489023,1138489041,1138489052,,,40204,0x313e,4,2,8,11,,5285,5287
149.154.175.53 10.0.2.16 443 47506,1138480217,1138497762,1138497800,1138497805,1138497823,1138497832,,,443,0x7eb1,4,8,5,9,,17331,17339
149.154.167.151 10.0.2.16 443 34236,1138526188,1138532383,1138532454,1138532461,1138532479,1138532492,,,443,0x344a,4,28,7,13,,6057,6085
149.154.167.151 10.0.2.16 443 46824,1139059869,1139101417,1139101488,1139101497,1139101515,1139101527,,,443,0x5856,4,19,9,12,,40692,40711
10.0.2.16 149.154.167.151 46824 443,1139059417,1139101740,1139101810,1139101816,1139101833,1139101842,,,46824,0x7202,4,58,6,9,,41398,41456
149.154.167.151 10.0.2.16 443 58106,1139365222,1139370047,1139370117,1139370123,1139370141,1139370151,,,443,0x54f5,4,1,6,10,,4782,4783
10.0.2.16 149.154.167.151 58106 443,1139364782,1139370413,1139370437,1139370441,1139370459,1139370469,,,58106,0x39f7,4,16,4,10,,5546,5562
10.0.2.16 149.154.175.53 38070 443,1139520860,1139527503,1139527573,1139527577,1139527595,1139527606,,,38070,0x30b5,4,29,4,11,,6605,6634
