Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration,,,,,,
10.0.2.16 13.248.212.111 56678 443,699947429,699959875,699959948,699959953,699959971,699959979,,,56678,0x23f1,3,19,5,8,,12268,12287,,,,,,
13.248.212.111 10.0.2.16 443 56678,699946964,699960414,699960428,699960431,699960450,699960458,,,443,0x37f3,3,36,3,8,,13286,13322,,,,,,
13.248.212.111 10.0.2.16 443 48230,700268124,700274833,700274865,700274871,700274889,700274901,,,443,0x2792,3,11,6,12,,6663,6674,,,,,,
10.0.2.16 13.248.212.111 48238 443,700270598,700281659,700281731,700281735,700281753,700281763,,,48238,0x29a4,3,15,4,10,,10907,10922,,,,,,
10.0.2.16 76.223.92.165 37168 443,700322785,700339959,700340031,700340039,700340057,700340066,,,37168,0x7a18,3,11,8,9,,17110,17121,,,,,,
76.223.92.165 10.0.2.16 443 44776,700376945,700386714,700386785,700386789,700386807,700386814,,,443,0x7e4f,3,24,4,7,,9590,9614,,,,,,
10.0.2.16 76.223.92.165 44776 443,700376525,700387065,700387105,700387109,700387127,700387131,,,44776,0x6229,3,47,4,4,,10388,10435,,,,,,
10.0.2.16 13.248.212.111 51086 443,700378396,700395572,700395619,700395623,700395642,700395647,,,51086,0x5306,3,51,4,5,,16939,16990,,,,,,
76.223.92.165 10.0.2.16 443 44768,700533408,700545526,700545532,700545537,700545555,700545566,,,443,0x3df7,3,4,5,11,,12011,12015,,,,,,
13.248.212.111 10.0.2.16 443 40452,700920027,700924412,700924432,700924455,700924476,700924496,,,443,0x4c53,3,55,23,20,,4340,4395,,,,,,
76.223.92.165 10.0.2.16 443 35508,700986631,700991522,700991596,700991605,700991624,700991637,,,443,0x726f,3,100,9,13,,4749,4849,,,,,,
10.0.2.16 13.248.212.111 49960 443,701146380,701157245,701157251,701157255,701157273,701157283,,,49960,0x38da,3,62,4,10,,10719,10781,,,,,,
10.0.2.16 13.248.212.111 36684 443,701280529,701290911,701290983,701290987,701291005,701291010,,,36684,0x5843,3,42,4,5,,10210,10252,,,,,,
10.0.2.16 13.248.212.111 36676 443,701282389,701299330,701299332,701299338,701299356,701299365,,,36676,0x3ba5,3,14,6,9,,16741,16755,,,,,,
13.248.212.111 10.0.2.16 443 59352,701486753,701494120,701494178,701494191,701494210,701494220,,,443,0x2c8a,3,72,13,10,,7320,7392,,,,,,
10.0.2.16 13.248.212.111 59352 443,701487158,701505399,701505471,701505477,701505495,701505505,,,59352,0x54ba,3,14,6,10,,18136,18150,,,,,,
13.248.212.111 10.0.2.16 443 56918,701513314,701520493,701520501,701520505,701520524,701520530,,,443,0x5684,3,86,4,6,,7158,7244,,,,,,
13.248.212.111 10.0.2.16 443 56934,701512133,701521833,701521905,701521908,701521926,701521935,,,443,0x4407,3,38,3,9,,9502,9540,,,,,,
10.0.2.16 13.248.212.111 56934 443,701511763,701522175,701522225,701522228,701522246,701522250,,,56934,0x6382,3,48,3,4,,10325,10373,,,,,,
13.248.212.111 10.0.2.16 443 42004,701544328,701548772,701548844,701548848,701548867,701548872,,,443,0x5c5b,3,33,4,5,,4320,4353,,,,,,
