Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration,,,,,,
40.79.141.152 10.0.2.16 443 44884,279738448,279744322,279744378,279744382,279744400,279744407,,,443,0x2289,6,34,4,7,,5811,5845,,,,,,
40.70.161.102 10.0.2.16 443 54340,279753016,279761128,279761144,279761148,279761166,279761175,,,443,0x765d,6,97,4,9,,8090,8187,,,,,,
10.0.2.16 52.255.207.13 50276 443,279855742,279895001,279895073,279895080,279895098,279895105,,,50276,0x3b1d,6,48,7,7,,38948,38996,,,,,,
137.117.16.35 10.0.2.16 443 39286,279906961,279924184,279924221,279924226,279924244,279924253,,,443,0x55e5,6,9,5,9,,17039,17048,,,,,,
10.0.2.16 137.117.16.35 39286 443,279907381,279924956,279925027,279925032,279925050,279925058,,,39286,0x2f9e,6,32,5,8,,17348,17380,,,,,,
10.0.2.16 51.132.193.104 45706 443,279972591,279977090,279977091,279977098,279977116,279977124,,,45706,0x28a0,6,5,7,8,,4494,4499,,,,,,
10.0.2.16 23.102.169.166 58532 443,280011987,280018789,280018861,280018867,280018885,280018897,,,58532,0x4f54,6,37,6,12,,6792,6829,,,,,,
23.102.169.166 10.0.2.16 443 58522,280017362,280028942,280028995,280029001,280029019,280029029,,,443,0x7727,6,98,6,10,,11476,11574,,,,,,
10.0.2.16 23.102.169.166 58522 443,280017745,280029414,280029486,280029492,280029510,280029521,,,58522,0x1b76,6,58,6,11,,11505,11563,,,,,,
137.117.16.35 10.0.2.16 443 51438,280042416,280047759,280047830,280047836,280047854,280047863,,,443,0x44f5,6,71,6,9,,5217,5288,,,,,,
10.0.2.16 137.117.16.35 51438 443,280042862,280048089,280048161,280048165,280048183,280048191,,,51438,0x5b57,6,49,4,8,,5215,5264,,,,,,
23.96.94.139 10.0.2.16 443 50124,280015974,280061948,280061966,280061971,280061989,280061996,,,443,0x722e,6,3,5,7,,45538,45541,,,,,,
52.232.209.85 10.0.2.16 443 42798,280062696,280068071,280068143,280068147,280068165,280068174,,,443,0x5adb,6,36,4,9,,5243,5279,,,,,,
10.0.2.16 52.113.194.132 49136 443,280035752,280080452,280080524,280080528,280080546,280080553,,,49136,0x49b3,6,43,4,7,,44235,44278,,,,,,
10.0.2.16 20.189.173.4 35618 443,280091564,280097767,280097814,280097817,280097835,280097842,,,35618,0x4628,6,46,3,7,,6101,6147,,,,,,
40.112.190.240 10.0.2.16 443 39442,280242432,280256959,280257034,280257052,280257074,280257092,,,443,0x2e42,6,79,18,18,,14467,14546,,,,,,
10.0.2.16 40.112.190.240 39442 443,280242800,280257357,280257392,280257398,280257416,280257424,,,39442,0x796b,6,51,6,8,,14501,14552,,,,,,
40.79.189.59 10.0.2.16 443 51302,280263522,280270871,280270875,280270881,280270898,280270909,,,443,0x3c38,6,5,6,11,,7269,7274,,,,,,
52.232.209.85 10.0.2.16 443 33966,280284611,280289855,280289863,280289868,280289886,280289896,,,443,0x5d08,6,63,5,10,,5188,5251,,,,,,
10.0.2.16 52.232.209.85 33966 443,280285049,280290303,280290356,280290359,280290377,280290386,,,33966,0x7c00,6,77,3,9,,5196,5273,,,,,,
10.0.2.16 52.178.17.2 57030 443,280332291,280336722,280336744,280336752,280336770,280336780,,,57030,0x5814,6,23,8,10,,4381,4404,,,,,,
52.178.17.2 10.0.2.16 443 57030,280331953,280337165,280337237,280337241,280337259,280337268,,,443,0x5156,6,16,4,9,,5092,5108,,,,,,
10.0.2.16 52.114.128.206 38325 443,280434321,280442238,280442310,280442314,280442332,280442342,,,38325,0x3a55,6,27,4,10,,7854,7881,,,,,,
23.96.94.139 10.0.2.16 443 39440,280422425,280451429,280451501,280451505,280451523,280451531,,,443,0x1c29,6,4,4,8,,28769,28773,,,,,,
20.42.65.88 10.0.2.16 443 41124,280453562,280461169,280461196,280461201,280461219,280461226,,,443,0x276e,6,70,5,7,,7497,7567,,,,,,
137.117.16.35 10.0.2.16 443 53672,280427813,280501970,280502010,280502016,280502035,280502045,,,443,0x4f60,6,34,6,10,,73485,73519,,,,,,
10.0.2.16 20.42.65.84 33162 443,280572610,280595075,280595146,280595151,280595169,280595178,,,33162,0x1fc0,6,82,5,9,,22279,22361,,,,,,
20.189.173.5 10.0.2.16 443 43654,280610116,280617797,280617799,280617803,280617821,280617831,,,443,0x2dc2,6,26,4,10,,7650,7676,,,,,,
