Flow ID,Min Packet Length,Max Packet Length,Packet Length Total,Packet Length Range,First4Sum,Last4Sum,Min differential Packet Length,Max differential Packet Length,IAT min,IAT max,IAT range,Flow Duration,Label
9.9.9.2 10.10.10.2 1194 56647 17,177,1410,10047,1233,4407,5640,0,1233,2.0,2135983.0,2135981.0,2146995.0,tiktok
10.10.10.2 9.9.9.2 56647 1194 17,92,1410,8673,1318,4322,4351,0,1318,31.0,1996193.0,1996162.0,2103471.0,tiktok
9.9.9.3 10.10.10.3 56647 1194 17,68,1410,8649,1342,4298,4351,0,1342,4907.0,1406909.0,1402002.0,1506904.0,tiktok
10.10.10.3 9.9.9.3 1194 56647 17,68,1410,9938,1342,4298,5640,0,1342,2.0,1472616.0,1472614.0,1489716.0,tiktok
9.9.9.4 10.10.10.4 56647 1194 17,68,1410,8649,1342,4298,4351,0,1342,201.0,944316.0,944115.0,1046606.0,tiktok
10.10.10.4 9.9.9.4 1194 56647 17,68,1410,9938,1342,4298,5640,0,1342,2.0,1015836.0,1015834.0,1037577.0,tiktok
9.9.9.5 10.10.10.5 56647 1194 17,121,1410,8702,1289,5640,3062,0,1289,11.0,90294.0,90283.0,127369.0,tiktok
10.10.10.5 9.9.9.5 1194 56647 17,1410,1410,11280,0,5640,5640,0,0,2.0,10708.0,10706.0,16885.0,tiktok
9.9.9.6 10.10.10.6 56647 1194 17,68,1410,8649,1342,4298,4351,0,1342,13.0,1654246.0,1654233.0,1772076.0,tiktok
10.10.10.6 9.9.9.6 1194 56647 17,68,1410,9938,1342,4298,5640,0,1342,1.0,1732232.0,1732231.0,1743003.0,tiktok
9.9.9.7 10.10.10.7 1194 56647 17,68,1410,9938,1342,4298,5640,0,1342,2.0,4135867.0,4135865.0,4159681.0,tiktok
10.10.10.7 9.9.9.7 56647 1194 17,68,1410,9938,1342,4298,5640,0,1342,115.0,841.0,726.0,2532.0,tiktok
9.9.9.8 10.10.10.8 56647 1194 17,68,1410,8649,1342,4298,4351,0,1342,1900.0,977804.0,975904.0,1192643.0,tiktok
10.10.10.8 9.9.9.8 1194 56647 17,68,1410,9938,1342,4298,5640,0,1342,2.0,1153671.0,1153669.0,1171576.0,tiktok
9.9.9.9 10.10.10.9 56647 1194 17,68,1410,8649,1342,4298,4351,0,1342,4687.0,1622740.0,1618053.0,1740842.0,tiktok
10.10.10.9 9.9.9.9 1194 56647 17,68,1410,9938,1342,4298,5640,0,1342,1.0,1698323.0,1698322.0,1704120.0,tiktok
9.9.9.10 10.10.10.10 56647 1194 17,68,1410,9938,1342,4298,5640,0,1342,1007.0,958031.0,957024.0,1204887.0,tiktok
