Flow ID,Min Packet Length,Max Packet Length,Packet Length Total,Min differential Packet Length,Max differential Packet Length,IAT min,IAT max,IAT Range,Flow Duration,Packet Length Range,First4Sum,Last4Sum,Label
10.10.10.2 9.9.9.2 56647 1194 17,92,1410,8673,0,1318,31,1996193,1996162,2103471000,1318,4322,4351,multimedia_apps
9.9.9.3 10.10.10.3 56647 1194 17,68,1410,8649,0,1342,4907,1406909,1402002,1506904000,1342,4298,4351,multimedia_apps
10.10.10.3 9.9.9.3 1194 56647 17,68,1410,9938,0,1342,2,1472616,1472614,1489716000,1342,4298,5640,multimedia_apps
9.9.9.4 10.10.10.4 56647 1194 17,68,1410,8649,0,1342,201,944316,944115,1046606000,1342,4298,4351,multimedia_apps
10.10.10.4 9.9.9.4 1194 56647 17,68,1410,9938,0,1342,2,1015836,1015834,1037577000,1342,4298,5640,multimedia_apps
9.9.9.5 10.10.10.5 56647 1194 17,121,1410,8702,0,1289,11,90294,90283,127369000,1289,5640,3062,multimedia_apps
10.10.10.5 9.9.9.5 1194 56647 17,1410,1410,11280,0,0,2,10708,10706,16885000,0,5640,5640,multimedia_apps
9.9.9.6 10.10.10.6 56647 1194 17,68,1410,8649,0,1342,13,1654246,1654233,1772076000,1342,4298,4351,multimedia_apps
10.10.10.6 9.9.9.6 1194 56647 17,68,1410,9938,0,1342,1,1732232,1732231,1743003000,1342,4298,5640,multimedia_apps
9.9.9.7 10.10.10.7 1194 56647 17,68,1410,9938,0,1342,2,4135867,4135865,4159681000,1342,4298,5640,multimedia_apps
10.10.10.7 9.9.9.7 56647 1194 17,68,1410,9938,0,1342,115,841,726,2532000,1342,4298,5640,multimedia_apps
9.9.9.8 10.10.10.8 56647 1194 17,68,1410,8649,0,1342,1900,977804,975904,1192643000,1342,4298,4351,multimedia_apps
10.10.10.8 9.9.9.8 1194 56647 17,68,1410,9938,0,1342,2,1153671,1153669,1171576000,1342,4298,5640,multimedia_apps
9.9.9.9 10.10.10.9 56647 1194 17,68,1410,8649,0,1342,4687,1622740,1618053,1740842000,1342,4298,4351,multimedia_apps
10.10.10.9 9.9.9.9 1194 56647 17,68,1410,9938,0,1342,1,1698323,1698322,1704120000,1342,4298,5640,multimedia_apps
9.9.9.10 10.10.10.10 56647 1194 17,68,1410,9938,0,1342,1007,958031,957024,1204887000,1342,4298,5640,multimedia_apps
10.10.10.10 9.9.9.10 1194 56647 17,68,1410,9938,0,1342,3,1228880,1228877,1240359000,1342,4298,5640,multimedia_apps
9.9.9.11 10.10.10.11 56647 1194 17,68,1410,7360,0,1342,2637,1402954,1400317,1527601000,1342,4298,3062,multimedia_apps
10.10.10.11 9.9.9.11 1194 56647 17,68,1410,9938,0,1342,3,59860,59857,82087000,1342,4298,5640,multimedia_apps
9.9.9.12 10.10.10.12 56647 1194 17,68,1410,8649,0,1342,4763,1397069,1392306,1525581000,1342,4298,4351,multimedia_apps
10.10.10.12 9.9.9.12 1194 56647 17,68,1410,9938,0,1342,3,1465487,1465484,1483614000,1342,4298,5640,multimedia_apps
9.9.9.13 10.10.10.13 56647 1194 17,68,1410,8649,0,1342,62,1785978,1785916,1920728000,1342,4298,4351,multimedia_apps
10.10.10.13 9.9.9.13 1194 56647 17,68,1410,9938,0,1342,2,1853118,1853116,1869168000,1342,4298,5640,multimedia_apps
9.9.9.14 10.10.10.14 56647 1194 17,68,1410,8649,0,1342,13,1684453,1684440,1805102000,1342,4298,4351,multimedia_apps
